State,Load,Ifetch,Store,Load_Linked,SPMCP_fetch,SPMCP_install,SPMLD,SPMST,SPMWB_read,SPMWB_store,SPM_release,SPM_Data,SPM_Ack,Replacement,InvOwn/InvElse,Fwd-GetS/GetInstr,Fwd-GetX,Data,Data_Exclusive,Data_Stale,Ack,WB-Ack,Flush,Flush_Ack,LLSC_Timeout
I_F,Stall,Stall,Stall,Stall,Stall,Stall,Stall,Stall,Stall,Stall,Stall,,,Stall,Stall,Stall,Stall,,,,,,,"Complete flush, deallocate TBE /I",
V_F,Stall,Stall,Stall,Stall,Stall,Stall,Stall,Stall,Stall,Stall,Stall,,,Stall,Stall,Stall,Stall,,,,,,,"Forward eviction to CPU, complete flush, deallocate /I",
PF_IS/PF_Inst_IS/PF_IE,Demand request converts prefetch miss to IS/Inst_IS/IM as applicable,Demand request converts prefetch miss to Inst_IS as applicable,Demand store converts PF_IE to IM,,Stall,Stall,Stall,Stall,Stall,Stall,Stall,,,Stall or recycle optional prefetch queue,Send InvAck; do not install prefetched line,,,Install prefetched data /S,Install prefetched exclusive data /E,Drop stale prefetched data /I,,,,,

Legend (SLICC source MESI_Three_Level_SPM-L0cache.sm)
Ruby L0,Core-side private L1 cache controller. It does not store SPM data; it forwards SPM requests to Ruby L1/private-L2 SPM and completes CPU sequencer callbacks on SPM responses
Pure SPM fast path,"SPMLD, SPMST, and SPMWB_read enqueue on spmBufferToL1, the dedicated L0->Ruby L1/private-L2 SPM request buffer"
Bridge/control path,"SPMCP_fetch, SPMCP_install, SPMWB_store, and SPM_release enqueue on the regular L0->L1 request buffer because they interact with coherent memory or slot lifecycle"
SPM_Data/SPM_Ack,Responses arrive on the dedicated SPM response buffer from Ruby L1 and complete the Ruby sequencer without changing L0 cache state
LLSC_E/LLSC_M,"Load-linked locked variants of E/M; SPM forwarding is still allowed, replacement/forwarded coherence requests stall until lock release"
PF_*,Prefetch transients summarized together; they are not SPM-specific except that SPM requests stall while the prefetch transient owns the line state
